"Type","Title","Country","Year","Rating","Genre","Synopsis"
"Movie","The Starling","United States","2021","PG-13","Comedy","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward."
"Movie","Angamaly Diaries","India","2017","TV-14","Action & Adventure","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
"Movie","A Champion Heart","United States","2018","G","Children & Family Movies","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
"Movie","Anjaam","India","1994","TV-14","Drama","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
"Movie","Bright Star","United Kingdom","2009","PG","Drama","This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse."
"Movie","Dhanak","India","2015","TV-PG","Comedy","A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation."
"Movie","Gurgaon","India","2017","TV-14","Drama","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
"Movie","In the Cut","United Kingdom","2003","R","Thriller","After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
"Movie","Shikara","India","2020","TV-14","Drama","A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp."
"Movie","A Cinderella Story","United States","2004","PG","Children & Family Movies","Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?"
"Movie","Je Suis Karl","Germany","2021","TV-MA","Drama","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"Movie","An Unfinished Life","Germany","2005","PG-13","Drama","A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
"Movie","Blade Runner: The Final Cut","United States","1982","R","Action & Adventure","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
"Movie","Chappie","South Africa","2015","R","Action & Adventure","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
"Movie","Clear and Present Danger","United States","1994","PG-13","Action & Adventure","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
